"","Plot.Name","Plot.Number","Artificial.Cover.Object.Number","Year","Date","Time","Survey.Number","Eastern.Redback.Salamander.Count","Artificial.Cover.Object.Age..year.s..","Observer.Names","Precipitation.in.the.Last.24.hours..mm.","Air.Temperature...C.","Soil.Temperature...C.","Beaufort.Sky.Class","Beaufort.Wind.Class","Soil.Moisture","Soil.pH","Morph","count"
"20","Cameron Lake Dunes","01 01","10","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"21","Cameron Lake Dunes","01 01","11","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"22","Cameron Lake Dunes","01 01","11","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"23","Cameron Lake Dunes","01 01","12","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"24","Cameron Lake Dunes","01 01","12","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"25","Cameron Lake Dunes","01 01","13","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"26","Cameron Lake Dunes","01 01","13","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"27","Cameron Lake Dunes","01 01","14","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"28","Cameron Lake Dunes","01 01","14","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"29","Cameron Lake Dunes","01 01","15","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"30","Cameron Lake Dunes","01 01","15","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"31","Cameron Lake Dunes","01 01","16","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"32","Cameron Lake Dunes","01 01","16","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"33","Cameron Lake Dunes","01 01","17","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"34","Cameron Lake Dunes","01 01","17","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"35","Cameron Lake Dunes","01 01","18","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"36","Cameron Lake Dunes","01 01","18","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"37","Cameron Lake Dunes","01 01","19","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"38","Cameron Lake Dunes","01 01","19","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"39","Cameron Lake Dunes","01 01","20","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"40","Cameron Lake Dunes","01 01","20","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"41","Cameron Lake Dunes","01 01","21","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"42","Cameron Lake Dunes","01 01","21","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"43","Cameron Lake Dunes","01 01","22","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"44","Cameron Lake Dunes","01 01","22","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"45","Cameron Lake Dunes","01 01","23","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"46","Cameron Lake Dunes","01 01","23","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"47","Cameron Lake Dunes","01 01","24","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"48","Cameron Lake Dunes","01 01","24","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"49","Cameron Lake Dunes","01 01","25","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"50","Cameron Lake Dunes","01 01","25","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"51","Cameron Lake Dunes","01 01","26","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"52","Cameron Lake Dunes","01 01","26","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"53","Cameron Lake Dunes","01 01","27","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"54","Cameron Lake Dunes","01 01","27","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"55","Cameron Lake Dunes","01 01","28","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"56","Cameron Lake Dunes","01 01","28","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"57","Cameron Lake Dunes","01 01","29","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"58","Cameron Lake Dunes","01 01","29","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"59","Cameron Lake Dunes","01 01","30","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"60","Cameron Lake Dunes","01 01","30","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"61","Cameron Lake Dunes","01 01","31","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"62","Cameron Lake Dunes","01 01","31","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"63","Cameron Lake Dunes","01 01","32","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"64","Cameron Lake Dunes","01 01","32","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"65","Cameron Lake Dunes","01 01","33","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"66","Cameron Lake Dunes","01 01","33","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"67","Cameron Lake Dunes","01 01","34","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"68","Cameron Lake Dunes","01 01","34","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"69","Cameron Lake Dunes","01 01","35","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"70","Cameron Lake Dunes","01 01","35","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"71","Cameron Lake Dunes","01 01","36","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"72","Cameron Lake Dunes","01 01","36","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"73","Cameron Lake Dunes","01 01","37","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"74","Cameron Lake Dunes","01 01","37","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"75","Cameron Lake Dunes","01 01","38","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"76","Cameron Lake Dunes","01 01","38","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"77","Cameron Lake Dunes","01 01","39","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"78","Cameron Lake Dunes","01 01","39","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"79","Cameron Lake Dunes","01 01","40","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"80","Cameron Lake Dunes","01 01","40","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"81","Emmett Lake","01 02","1","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"82","Emmett Lake","01 02","1","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"83","Emmett Lake","01 02 ","2","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"84","Emmett Lake","01 02 ","2","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"85","Emmett Lake","01 02","3","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"86","Emmett Lake","01 02","3","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"87","Emmett Lake","01 02","4","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"88","Emmett Lake","01 02","4","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"89","Emmett Lake","01 02","5","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"90","Emmett Lake","01 02","5","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"91","Emmett Lake","01 02 ","6","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"92","Emmett Lake","01 02 ","6","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"93","Emmett Lake","01 02","7","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"94","Emmett Lake","01 02","7","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"95","Emmett Lake","01 02","8","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"96","Emmett Lake","01 02","8","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"97","Emmett Lake","01 02","9","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"98","Emmett Lake","01 02","9","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"99","Emmett Lake","01 02 ","10","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"100","Emmett Lake","01 02 ","10","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"101","Emmett Lake","01 02","11","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"102","Emmett Lake","01 02","11","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"103","Emmett Lake","01 02","12","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"104","Emmett Lake","01 02","12","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"105","Emmett Lake","01 02","13","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"106","Emmett Lake","01 02","13","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"107","Emmett Lake","01 02 ","14","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"108","Emmett Lake","01 02 ","14","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"109","Emmett Lake","01 02","15","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"110","Emmett Lake","01 02","15","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"111","Emmett Lake","01 02","16","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"112","Emmett Lake","01 02","16","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"113","Emmett Lake","01 02","17","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"114","Emmett Lake","01 02","17","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"115","Emmett Lake","01 02 ","18","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"116","Emmett Lake","01 02 ","18","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"117","Emmett Lake","01 02","19","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"118","Emmett Lake","01 02","19","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"119","Emmett Lake","01 02","20","2004","13/05/2004","12:30PM","1","3","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"120","Emmett Lake","01 02","20","2004","13/05/2004","12:30PM","1","3","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"121","Emmett Lake","01 02","21","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"122","Emmett Lake","01 02","21","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"123","Emmett Lake","01 02 ","22","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"124","Emmett Lake","01 02 ","22","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"125","Emmett Lake","01 02","23","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"126","Emmett Lake","01 02","23","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"127","Emmett Lake","01 02","24","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"128","Emmett Lake","01 02","24","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"129","Emmett Lake","01 02","25","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"130","Emmett Lake","01 02","25","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"131","Emmett Lake","01 02 ","26","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"132","Emmett Lake","01 02 ","26","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"133","Emmett Lake","01 02","27","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"134","Emmett Lake","01 02","27","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"135","Emmett Lake","01 02","28","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"136","Emmett Lake","01 02","28","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"137","Emmett Lake","01 02","29","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"138","Emmett Lake","01 02","29","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"139","Emmett Lake","01 02 ","30","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"140","Emmett Lake","01 02 ","30","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"141","Emmett Lake","01 02","31","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"142","Emmett Lake","01 02","31","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"143","Emmett Lake","01 02","32","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"144","Emmett Lake","01 02","32","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"145","Emmett Lake","01 02","33","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"146","Emmett Lake","01 02","33","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"147","Emmett Lake","01 02 ","34","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"148","Emmett Lake","01 02 ","34","2004","13/05/2004","12:30PM","1","2","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"149","Emmett Lake","01 02","35","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"150","Emmett Lake","01 02","35","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"151","Emmett Lake","01 02","36","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"152","Emmett Lake","01 02","36","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"153","Emmett Lake","01 02","37","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"154","Emmett Lake","01 02","37","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"155","Emmett Lake","01 02 ","38","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"156","Emmett Lake","01 02 ","38","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"157","Emmett Lake","01 02","39","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"158","Emmett Lake","01 02","39","2004","13/05/2004","12:30PM","1","0","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"159","Emmett Lake","01 02","40","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Redback",NA
"160","Emmett Lake","01 02","40","2004","13/05/2004","12:30PM","1","1","<1","Brianna, Brad","0","25.1","N/A","1","0","N/A","7","Leadback",NA
"161","South Cameron Lake","01 07","1","2004","13/05/2004","10:00AM","1","1","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Redback",NA
"162","South Cameron Lake","01 07","1","2004","13/05/2004","10:00AM","1","1","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Leadback",NA
"163","South Cameron Lake","01 07","2","2004","13/05/2004","10:00AM","1","1","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Redback",NA
"164","South Cameron Lake","01 07","2","2004","13/05/2004","10:00AM","1","1","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Leadback",NA
"165","South Cameron Lake","01 07","3","2004","13/05/2004","10:00AM","1","0","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Redback",NA
"166","South Cameron Lake","01 07","3","2004","13/05/2004","10:00AM","1","0","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Leadback",NA
"167","South Cameron Lake","01 07","4","2004","13/05/2004","10:00AM","1","1","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Redback",NA
"168","South Cameron Lake","01 07","4","2004","13/05/2004","10:00AM","1","1","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Leadback",NA
"169","South Cameron Lake","01 07","5","2004","13/05/2004","10:00AM","1","0","<1","Brianna, Brad","0","19.5","N/A","0","1","N/A","7","Redback",NA
